date,station_id,station_name,latitude,longitude,state,city,PM2.5,PM10
2026-07-22,DL001,Delhi_RK_Puram,28.56,77.18,Delhi,Delhi,188.44,342.58
2026-07-22,MH001,Mumbai_Bandra,19.05,72.84,Maharashtra,Mumbai,66.96,110.1
2026-07-22,WB001,Kolkata_Victoria,22.54,88.34,West Bengal,Kolkata,87.79,149.94
2026-07-22,TN001,Chennai_Alandur,13.0,80.2,Tamil Nadu,Chennai,64.31,115.72
2026-07-22,KA001,Bengaluru_Silk_Board,12.92,77.62,Karnataka,Bengaluru,24.31,37.3
2026-07-22,TG001,Hyderabad_Sanathnagar,17.45,78.43,Telangana,Hyderabad,57.47,102.12
2026-07-22,BR001,Patna_Sanjay_Gandhi,25.6,85.1,Bihar,Patna,123.21,194.74
2026-07-22,UP001,Lucknow_Lalbagh,26.85,80.94,Uttar Pradesh,Lucknow,143.72,209.55
2026-07-22,RJ001,Jaipur_Adarsh_Nagar,26.9,75.82,Rajasthan,Jaipur,90.84,151.07
2026-07-22,GJ001,Ahmedabad_Maninagar,23.0,72.61,Gujarat,Ahmedabad,105.42,149.48
2026-07-23,DL001,Delhi_RK_Puram,28.56,77.18,Delhi,Delhi,172.9,341.78
2026-07-23,MH001,Mumbai_Bandra,19.05,72.84,Maharashtra,Mumbai,42.74,62.2
2026-07-23,WB001,Kolkata_Victoria,22.54,88.34,West Bengal,Kolkata,70.71,115.87
2026-07-23,TN001,Chennai_Alandur,13.0,80.2,Tamil Nadu,Chennai,57.2,100.56
2026-07-23,KA001,Bengaluru_Silk_Board,12.92,77.62,Karnataka,Bengaluru,31.5,51.73
2026-07-23,TG001,Hyderabad_Sanathnagar,17.45,78.43,Telangana,Hyderabad,50.08,83.31
2026-07-23,BR001,Patna_Sanjay_Gandhi,25.6,85.1,Bihar,Patna,143.94,241.92
2026-07-23,UP001,Lucknow_Lalbagh,26.85,80.94,Uttar Pradesh,Lucknow,163.12,240.89
2026-07-23,RJ001,Jaipur_Adarsh_Nagar,26.9,75.82,Rajasthan,Jaipur,87.78,147.63
2026-07-23,GJ001,Ahmedabad_Maninagar,23.0,72.61,Gujarat,Ahmedabad,91.28,152.62
2026-07-24,DL001,Delhi_RK_Puram,28.56,77.18,Delhi,Delhi,185.44,287.5
2026-07-24,MH001,Mumbai_Bandra,19.05,72.84,Maharashtra,Mumbai,81.74,160.47
2026-07-24,WB001,Kolkata_Victoria,22.54,88.34,West Bengal,Kolkata,80.32,159.03
2026-07-24,TN001,Chennai_Alandur,13.0,80.2,Tamil Nadu,Chennai,56.08,111.33
2026-07-24,KA001,Bengaluru_Silk_Board,12.92,77.62,Karnataka,Bengaluru,53.72,107.27
2026-07-24,TG001,Hyderabad_Sanathnagar,17.45,78.43,Telangana,Hyderabad,37.39,58.76
2026-07-24,BR001,Patna_Sanjay_Gandhi,25.6,85.1,Bihar,Patna,127.43,207.45
2026-07-24,UP001,Lucknow_Lalbagh,26.85,80.94,Uttar Pradesh,Lucknow,164.13,280.29
